video,joint,frame_since_strike,cycle_mean_deg,norm_mean_deg,delta_deg,inlier_cycle_count,total_cycle_count,max_cycle_length
2,right_ankle,30,116.97776651695409,-1.3595783132530113,118.3373448302071,4,8,166
2,right_ankle,31,116.38655519527461,-0.8665843373493969,117.253139532624,4,8,166
2,right_ankle,32,115.77977041453342,-0.3637831325301203,116.14355354706353,4,8,166
2,right_ankle,33,115.16134574812224,0.1610361445783129,115.00030960354393,4,8,166
2,right_ankle,34,114.53355732125732,0.6949999999999998,113.83855732125733,4,8,166
2,right_ankle,35,113.89910066940222,1.2395000000000005,112.65960066940221,4,8,166
2,right_ankle,36,113.26114953343975,1.7943373493975914,111.46681218404215,4,8,166
2,right_ankle,37,112.62319840085189,2.352620481927713,110.27057791892418,4,8,166
2,right_ankle,38,111.99020564378259,2.9162048192771106,109.07400082450548,4,8,166
2,right_ankle,39,111.36563456490563,3.4792710843373515,107.88636348056828,4,8,166
2,right_ankle,40,110.7534091274574,4.04166265060241,106.711746476855,4,8,166
2,right_ankle,41,110.1575198765974,4.598180722891566,105.55933915370584,4,8,166
2,right_ankle,42,109.58226457681731,5.151614457831326,104.43065011898598,4,8,166
2,right_ankle,43,109.0328290061756,5.691343373493978,103.34148563268162,4,8,166
2,right_ankle,44,108.5166884209762,6.222638554216869,102.29404986675932,4,8,166
2,right_ankle,45,108.03372294362661,6.741493975903614,101.292228967723,4,8,166
2,right_ankle,46,107.58649331122655,7.239530120481928,100.34696319074462,4,8,166
2,right_ankle,47,107.17739868938439,7.728012048192772,99.44938664119162,4,8,166
2,right_ankle,48,106.8083561317813,8.183650602409639,98.62470552937165,4,8,166
2,right_ankle,49,106.48149635157122,8.623686746987953,97.85780960458327,4,8,166
2,right_ankle,50,106.20283072907216,9.037578313253015,97.16525241581914,4,8,166
2,right_ankle,51,105.96659388920814,9.417385542168676,96.54920834703947,4,8,166
2,right_ankle,52,105.77286525730716,9.781253012048193,95.99161224525896,4,8,166
2,right_ankle,53,105.62095665415214,10.090777108433736,95.5301795457184,4,8,166
2,right_ankle,54,105.50817308872703,10.378795180722893,95.12937790800414,4,8,166
2,right_ankle,55,105.43265313869051,10.625698795180725,94.80695434350979,4,8,166
2,right_ankle,56,105.39778771018648,10.826481927710844,94.57130578247563,4,8,166
2,right_ankle,57,105.39516164175014,11.004204819277108,94.39095682247303,4,8,166
2,right_ankle,58,105.4224786714471,11.1075421686747,94.3149365027724,4,8,166
2,right_ankle,59,105.477504434161,11.183975903614458,94.29352853054655,4,8,166
2,right_ankle,60,105.55811467356853,11.203060240963856,94.35505443260467,4,8,166
2,right_ankle,61,105.66232830491923,11.16521686746988,94.49711143744935,4,8,166
2,right_ankle,62,105.79127917984427,11.094843373493976,94.6964358063503,4,8,166
2,right_ankle,63,105.9405533686485,10.931759036144578,95.00879433250391,4,8,166
2,right_ankle,64,106.10774208640319,10.735759036144577,95.37198305025862,4,8,166
2,right_ankle,65,106.29169633596607,10.466192771084335,95.82550356488173,4,8,166
2,right_ankle,66,106.49144451506974,10.129759036144577,96.36168547892517,4,8,166
2,right_ankle,67,106.7061807409972,9.749861445783134,96.95631929521406,4,8,166
2,right_ankle,68,106.93629537499164,9.268542168674697,97.66775320631695,4,8,166
2,right_ankle,69,107.18013877821025,8.754957831325298,98.42518094688495,4,8,166
2,right_ankle,70,107.43731495994847,8.168710843373493,99.26860411657498,4,8,166
2,right_ankle,71,107.70786170049745,7.533018072289156,100.1748436282083,4,8,166
2,right_ankle,72,107.99176424343763,6.860891566265062,101.13087267717256,4,8,166
2,right_ankle,73,108.28992049153857,6.121746987951806,102.16817350358676,4,8,166
2,right_ankle,74,108.6026671148541,5.361289156626501,103.2413779582276,4,8,166
2,right_ankle,75,108.93006574849342,4.55259036144578,104.37747538704764,4,8,166
2,right_ankle,76,109.27239602201227,3.7159156626505983,105.55648035936167,4,8,166
2,right_ankle,77,109.63026562613341,2.855927710843365,106.77433791529005,4,8,166
2,right_ankle,78,110.00429039814081,1.9627831325301135,108.04150726561069,4,8,166
2,right_ankle,79,110.39575582889822,1.0593614457831282,109.33639438311509,4,8,166
2,right_ankle,80,110.80584960814807,0.13377108433734763,110.67207852381071,4,8,166
